,Threads,Task,Real Time,User Time,Sys Time
0,1,Graph,0m0.021s,0m0.016s,0m0.000s
1,1,Matrix,0m0.002s,0m0.002s,0m0.000s
2,1,Multiplication,0m0.033s,0m0.024s,0m0.008s
3,1,Search,0m0.031s,0m0.009s,0m0.056s
4,1,Sorting,0m0.003s,0m0.003s,0m0.000s
5,1,Substring,0m0.003s,0m0.000s,0m0.003s
6,2,Graph,0m0.024s,0m0.029s,0m0.000s
7,2,Matrix,0m0.004s,0m0.003s,0m0.001s
8,2,Multiplication,0m0.040s,0m0.071s,0m0.000s
9,2,Search,0m0.044s,0m0.012s,0m0.068s
10,2,Sorting,0m0.003s,0m0.003s,0m0.000s
11,2,Substring,0m0.004s,0m0.003s,0m0.000s
12,3,Graph,0m0.021s,0m0.050s,0m0.000s
13,3,Matrix,0m0.004s,0m0.003s,0m0.000s
14,3,Multiplication,0m0.029s,0m0.055s,0m0.000s
15,3,Search,0m0.038s,0m0.001s,0m0.063s
16,3,Sorting,0m0.003s,0m0.000s,0m0.003s
17,3,Substring,0m0.002s,0m0.002s,0m0.000s
18,4,Graph,0m0.011s,0m0.008s,0m0.000s
19,4,Matrix,0m0.003s,0m0.003s,0m0.000s
20,4,Multiplication,0m0.018s,0m0.064s,0m0.000s
21,4,Search,0m0.030s,0m0.012s,0m0.040s
22,4,Sorting,0m0.004s,0m0.005s,0m0.000s
23,4,Substring,0m0.003s,0m0.002s,0m0.001s
24,5,Graph,0m0.015s,0m0.015s,0m0.000s
25,5,Matrix,0m0.005s,0m0.004s,0m0.001s
26,5,Multiplication,0m0.024s,0m0.100s,0m0.000s
27,5,Search,0m0.033s,0m0.001s,0m0.056s
28,5,Sorting,0m0.004s,0m0.006s,0m0.001s
29,5,Substring,0m0.002s,0m0.002s,0m0.000s
30,6,Graph,0m0.017s,0m0.073s,0m0.000s
31,6,Matrix,0m0.004s,0m0.003s,0m0.000s
32,6,Multiplication,0m0.027s,0m0.103s,0m0.001s
33,6,Search,0m0.061s,0m0.022s,0m0.097s
34,6,Sorting,0m0.007s,0m0.007s,0m0.000s
35,6,Substring,0m0.003s,0m0.003s,0m0.000s
36,7,Graph,0m0.022s,0m0.071s,0m0.012s
37,7,Matrix,0m0.009s,0m0.001s,0m0.006s
38,7,Multiplication,0m0.015s,0m0.057s,0m0.000s
39,7,Search,0m0.028s,0m0.024s,0m0.024s
40,7,Sorting,0m0.005s,0m0.013s,0m0.000s
41,7,Substring,0m0.003s,0m0.003s,0m0.000s
42,8,Graph,0m0.009s,0m0.035s,0m0.000s
43,8,Matrix,0m0.003s,0m0.003s,0m0.000s
44,8,Multiplication,0m0.013s,0m0.085s,0m0.000s
45,8,Search,0m0.033s,0m0.022s,0m0.032s
46,8,Sorting,0m0.003s,0m0.003s,0m0.000s
47,8,Substring,0m0.003s,0m0.003s,0m0.000s
48,9,Graph,0m0.011s,0m0.040s,0m0.000s
49,9,Matrix,0m0.005s,0m0.005s,0m0.000s
50,9,Multiplication,0m0.015s,0m0.041s,0m0.000s
51,9,Search,0m0.051s,0m0.024s,0m0.060s
52,9,Sorting,0m0.007s,0m0.008s,0m0.000s
53,9,Substring,0m0.004s,0m0.004s,0m0.000s
54,10,Graph,0m0.013s,0m0.001s,0m0.023s
55,10,Matrix,0m0.008s,0m0.001s,0m0.010s
56,10,Multiplication,0m0.025s,0m0.138s,0m0.000s
57,10,Search,0m0.054s,0m0.027s,0m0.078s
58,10,Sorting,0m0.013s,0m0.041s,0m0.000s
59,10,Substring,0m0.005s,0m0.004s,0m0.000s
60,11,Graph,0m0.014s,0m0.032s,0m0.000s
61,11,Matrix,0m0.008s,0m0.001s,0m0.007s
62,11,Multiplication,0m0.017s,0m0.088s,0m0.000s
63,11,Search,0m0.037s,0m0.029s,0m0.037s
64,11,Sorting,0m0.022s,0m0.129s,0m0.000s
65,11,Substring,0m0.020s,0m0.065s,0m0.000s
66,12,Graph,0m0.040s,0m0.285s,0m0.100s
67,12,Matrix,0m0.014s,0m0.034s,0m0.000s
68,12,Multiplication,0m0.032s,0m0.283s,0m0.008s
69,12,Search,0m0.051s,0m0.022s,0m0.063s
70,12,Sorting,0m0.028s,0m0.218s,0m0.010s
71,12,Substring,0m0.015s,0m0.075s,0m0.000s
